Organization Name,Use Case Name,Submission Date and Time (UTC),Reference Number,Submission Status,Organization Status
Cornmarket,Retirement Dates,2026-05-25 16:31:11.940000Z,159412M,Completed,Active
Cornmarket,Retirement Dates,2026-05-22 11:28:54.849000Z,159400M,Completed,Active
Cornmarket,Retirement Dates,2026-05-21 10:43:02.574000Z,163791M,Completed,Active
Cornmarket,Retirement Dates,2026-05-12 08:20:59.209000Z,163796M,Cancelled,Active
Cornmarket,Retirement Dates,2026-05-11 14:22:20.742000Z,163796M,Received,Active
Cornmarket,Retirement Dates,2026-05-11 14:21:28.488000Z,163791M,Received,Active
Cornmarket,Retirement Dates,2026-05-11 14:08:49.314000Z,163788M,Received,Active
Cornmarket,Retirement Dates,2026-05-11 13:57:37.072000Z,163796M,Submitted,Active
Cornmarket,Retirement Dates,2026-05-11 13:56:18.590000Z,163791M,Submitted,Active
Cornmarket,Retirement Dates,2026-05-11 13:53:58.583000Z,163788M,Submitted,Active
Cornmarket,Retirement Dates,2026-05-07 11:27:59.494000Z,162345M,Received,Active
Cornmarket,Retirement Dates,2026-05-07 10:56:47.789000Z,162345M,Submitted,Active
The Irish Times,Update Members,2026-05-29 15:20:49.060000Z,171746M,Completed,Active
Comhlucht Iascaireacht Fanad Teoranta,Update Members,2026-05-29 14:45:47.653000Z,174702M,Received,Active
CIE Group,Update Members,2026-05-29 14:34:08.325000Z,171789M,Completed,Active
Intercom R and D Unlimited Company,Update Members,2026-05-29 14:33:32.657000Z,174701M,Received,Active
Comhlucht Iascaireacht Fanad Teoranta,Update Members,2026-05-29 14:08:57.153000Z,174702M,Submitted,Active
Intercom R and D Unlimited Company,Update Members,2026-05-29 14:06:12.531000Z,174701M,Submitted,Active
Cohesity International Limited,Update Members,2026-05-29 13:52:43.763000Z,162651M,Completed,Active
Securitas Security Services Ireland Ltd,Update Members,2026-05-29 13:44:14.983000Z,174676M,Received,Active
Securitas Security Services Ireland Ltd,Update Members,2026-05-29 13:28:44.798000Z,174676M,Submitted,Active
BearingPoint Ireland Limited,Update Members,2026-05-29 13:01:27.997000Z,146689M,Cancelled,Active
The Irish Times,Update Members,2026-05-29 09:45:51.021000Z,171751M,Completed,Active
Stantec UK Limited Ireland Branch,Update Members,2026-05-29 08:01:19.843000Z,171654M,Completed,Active
Hertz Europe Service Centre Limited,Update Members,2026-05-29 07:02:58.711000Z,170133M,Completed,Active
Grifols Worldwide Operations Ltd,Update Members,2026-05-28 16:45:09.925000Z,174278M,Received,Active
Grifols Worldwide Operations Ltd,Update Members,2026-05-28 16:26:59.991000Z,174278M,Submitted,Active
Source Galileo Ireland Limited,Update Members,2026-05-28 15:43:30.230000Z,174227M,Received,Active
Sandvik Mining and Construction Logistics,Update Members,2026-05-28 15:43:09.917000Z,171119M,Completed,Active
Source Galileo Ireland Limited,Update Members,2026-05-28 15:29:25.663000Z,174227M,Submitted,Active
Spearline Labs Limited,Update Members,2026-05-28 14:56:14.393000Z,172867M,Completed,Active
Tata Consultancy Services Ltd,Update Members,2026-05-28 14:41:58.149000Z,161063M,Completed,Active
Caragh Tool and Die Ltd,Update Members,2026-05-28 13:55:19.755000Z,174149M,Received,Active
Caragh Tool and Die Ltd,Update Members,2026-05-28 13:30:42.724000Z,174149M,Submitted,Active
Shopify International Limited,Update Members,2026-05-28 13:00:46.887000Z,174102M,Received,Active
Shopify International Limited,Update Members,2026-05-28 12:46:21.510000Z,174102M,Submitted,Active
Irish Business and Employers Confederation,Update Members,2026-05-28 10:08:54.241000Z,170036M,Completed,Active
Korn Ferry IE Limited,Update Members,2026-05-28 07:22:51.807000Z,152822M,Cancelled,Active
Magnet Networks Ltd,Update Members,2026-05-27 15:32:29.196000Z,173647M,Received,Active
Beacon Hospital Sandyford Limited,Update Members,2026-05-27 15:28:35.991000Z,166508M,Completed,Active
Magnet Networks Ltd,Update Members,2026-05-27 15:16:00.694000Z,173647M,Submitted,Active
Prosper Group Fingal and Meath,Update Members,2026-05-27 15:08:01.662000Z,173626M,Received,Active
Prosper Group Fingal and Meath,Update Members,2026-05-27 15:08:00.669000Z,173625M,Received,Active
Prosper Group Fingal and Meath,Update Members,2026-05-27 15:08:00.389000Z,173622M,Received,Active
Prosper Group Fingal and Meath,Update Members,2026-05-27 14:40:33.460000Z,173626M,Submitted,Active
Prosper Group Fingal and Meath,Update Members,2026-05-27 14:39:19.689000Z,173625M,Submitted,Active
Prosper Group Fingal and Meath,Update Members,2026-05-27 14:37:27.268000Z,173622M,Submitted,Active
Intercom R and D Unlimited Company,Update Members,2026-05-27 14:31:49.650000Z,173606M,Received,Active
Intercom R and D Unlimited Company,Update Members,2026-05-27 14:18:48.746000Z,173606M,Submitted,Active
Western Union,Update Members,2026-05-27 13:13:07.349000Z,126899M,Completed,Active
Unio Employee Benefits,Update Members,2026-05-27 11:15:31.974000Z,173431M,Received,Active
Unio Employee Benefits,Update Members,2026-05-27 10:54:31.957000Z,173431M,Submitted,Active
Ecocem Ireland Limited,Update Members,2026-05-27 10:22:48.660000Z,171585M,Completed,Active
Firhouse Credit Union Ltd,Update Members,2026-05-27 09:40:12.828000Z,173322M,Received,Active
Bord na Mona PLC,Update Members,2026-05-27 09:30:36.510000Z,170109M,Completed,Active
Firhouse Credit Union Ltd,Update Members,2026-05-27 09:17:06.202000Z,173322M,Submitted,Active
Roadstone Limited,Update Members,2026-05-27 08:49:51.261000Z,173288M,Received,Active
Roadstone Limited,Update Members,2026-05-27 08:34:22.638000Z,173288M,Submitted,Active
Aldi Stores Ireland,Update Members,2026-05-27 07:42:08.277000Z,173250M,Received,Active
Aldi Stores Ireland,Update Members,2026-05-27 07:26:54.960000Z,173250M,Submitted,Active
Viatel Ireland Ltd,Update Members,2026-05-26 14:19:36.408000Z,169747M,Completed,Active
Spearline Labs Limited,Update Members,2026-05-26 12:00:09.428000Z,172867M,Received,Active
Spearline Labs Limited,Update Members,2026-05-26 11:42:41.939000Z,172867M,Submitted,Active
Aldi Stores Ireland,Update Members,2026-05-26 11:20:58.470000Z,172833M,Received,Active
Aldi Stores Ireland,Update Members,2026-05-26 11:20:56.986000Z,172834M,Received,Active
Special Olympics,Update Members,2026-05-26 11:17:13.525000Z,159991M,Cancelled,Active
Aldi Stores Ireland,Update Members,2026-05-26 10:57:26.714000Z,172834M,Submitted,Active
Aldi Stores Ireland,Update Members,2026-05-26 10:55:43.506000Z,172833M,Submitted,Active
Irish Film Institute,Update Members,2026-05-26 10:35:54.738000Z,124758M,Completed,Active
Amcor Flexibles Sligo Ltd,Update Members,2026-05-26 10:03:01.886000Z,126410M,Completed,Active
Mathworks Limited,Update Members,2026-05-26 08:27:28.787000Z,172701M,Received,Active
Mathworks Limited,Update Members,2026-05-26 08:10:43.503000Z,172701M,Submitted,Active
Pramerica Systems Ireland Ltd,Update Members,2026-05-25 15:52:08.195000Z,172505M,Received,Active
Pramerica Systems Ireland Ltd,Update Members,2026-05-25 15:27:30.385000Z,172505M,Submitted,Active
Immedis Ltd,Update Members,2026-05-25 14:57:31.454000Z,172460M,Received,Active
Immedis Ltd,Update Members,2026-05-25 14:38:13.744000Z,172460M,Submitted,Active
MeiraGTx Ireland DAC,Update Members,2026-05-25 10:04:26.321000Z,169068M,Completed,Active
CoAction West Cork CLG,Update Members,2026-05-25 09:44:13.625000Z,169052M,Completed,Active
Tony OReilly,Update Members,2026-05-25 08:44:25.072000Z,169737M,Completed,Active
CIE Group,Update Members,2026-05-22 14:41:23.169000Z,171789M,Received,Active
CIE Group,Update Members,2026-05-22 14:18:31.894000Z,171789M,Submitted,Active
Securitas Security Services Ireland Ltd,Update Members,2026-05-22 14:04:19.058000Z,168915M,Completed,Active
Securitas Security Services Ireland Ltd,Update Members,2026-05-22 14:04:18.471000Z,168945M,Completed,Active
Securitas Security Services Ireland Ltd,Update Members,2026-05-22 14:04:17.677000Z,168928M,Completed,Active
Caredoc,Update Members,2026-05-22 14:04:16.814000Z,169636M,Completed,Active
DFDS Logistics Contracts Ltd,Update Members,2026-05-22 14:04:16.184000Z,171479M,Completed,Active
Zendesk International Limited,Update Members,2026-05-22 14:04:15.531000Z,170682M,Completed,Active
Caredoc,Update Members,2026-05-22 14:04:14.888000Z,170163M,Completed,Active
Sandvik Mining and Construction Logistics,Update Members,2026-05-22 14:04:14.257000Z,171114M,Completed,Active
Pramerica Systems Ireland Ltd,Update Members,2026-05-22 14:04:13.420000Z,170250M,Completed,Active
Magnet Networks Ltd,Update Members,2026-05-22 14:04:08.708000Z,168883M,Completed,Active
Pepper Finance Corporation Ireland Ltd,Update Members,2026-05-22 14:04:08.300000Z,170857M,Completed,Active
Toasttab Ireland Limited,Update Members,2026-05-22 14:04:06.959000Z,169577M,Completed,Active
Pramerica Systems Ireland Ltd,Update Members,2026-05-22 14:04:06.138000Z,170249M,Completed,Active
Pramerica Systems Ireland Ltd,Update Members,2026-05-22 14:03:45.172000Z,168452M,Completed,Active
The Irish Times,Update Members,2026-05-22 13:52:35.190000Z,171751M,Received,Active
The Irish Times,Update Members,2026-05-22 13:52:32.692000Z,171746M,Received,Active
Central Business Equipment Limited,Update Members,2026-05-22 13:41:15.758000Z,170209M,Cancelled,Active
Central Business Equipment Limited,Update Members,2026-05-22 13:41:14.189000Z,170233M,Cancelled,Active
The Irish Times,Update Members,2026-05-22 13:34:16.024000Z,171751M,Submitted,Active
The Irish Times,Update Members,2026-05-22 13:32:53.919000Z,171746M,Submitted,Active
Stantec UK Limited Ireland Branch,Update Members,2026-05-22 11:20:01.551000Z,171654M,Received,Active
Stantec UK Limited Ireland Branch,Update Members,2026-05-22 11:07:00.625000Z,171654M,Submitted,Active
Ecocem Ireland Limited,Update Members,2026-05-22 10:19:59.501000Z,171585M,Received,Active
Ecocem Ireland Limited,Update Members,2026-05-22 10:02:56.944000Z,171585M,Submitted,Active
Central Business Equipment Limited,Update Members,2026-05-22 09:18:25.782000Z,170225M,Cancelled,Active
Lacework Ireland Ltd,Update Members,2026-05-22 09:18:25.536000Z,169118M,Cancelled,Active
Korn Ferry IE Limited,Update Members,2026-05-22 08:42:59.861000Z,168314M,Completed,Active
Brinks Cash Services  Ireland  Limited,Update Members,2026-05-22 08:36:22.072000Z,168350M,Completed,Active
Fujitsu Ireland Ret and Death Ben Plan,Update Members,2026-05-22 08:08:50.140000Z,170020M,Completed,Active
DFDS Logistics Contracts Ltd,Update Members,2026-05-22 06:03:36.216000Z,171479M,Received,Active
DFDS Logistics Contracts Ltd,Update Members,2026-05-22 05:22:13.539000Z,171479M,Submitted,Active
Expleo Technology Ireland Limited,Update Members,2026-05-21 17:22:42.117000Z,168138M,Completed,Active
Expleo Technology Ireland Limited,Update Members,2026-05-21 17:22:40.130000Z,168293M,Completed,Active
Expleo Technology Ireland Limited,Update Members,2026-05-21 17:22:33.336000Z,163781M,Completed,Active
Patrick J Tobin Ltd,Update Members,2026-05-21 17:22:16.232000Z,166944M,Completed,Active
Demonware Limited,Update Members,2026-05-21 17:22:14.457000Z,163740M,Completed,Active
MBEU Designated Activity Company,Update Members,2026-05-21 17:21:52.815000Z,163671M,Completed,Active
Nomadic Dairy Limited,Update Members,2026-05-21 17:17:00.930000Z,171268M,Received,Active
Nomadic Dairy Limited,Update Members,2026-05-21 17:01:20.092000Z,171268M,Submitted,Active
Sandvik Mining and Construction Logistics,Update Members,2026-05-21 13:58:18.508000Z,171119M,Received,Active
Sandvik Mining and Construction Logistics,Update Members,2026-05-21 13:58:12.572000Z,171116M,Received,Active
Sandvik Mining and Construction Logistics,Update Members,2026-05-21 13:58:09.929000Z,171114M,Received,Active
Sandvik Mining and Construction Logistics,Update Members,2026-05-21 13:44:39.023000Z,171119M,Submitted,Active
Sandvik Mining and Construction Logistics,Update Members,2026-05-21 13:43:27.501000Z,171116M,Submitted,Active
Sandvik Mining and Construction Logistics,Update Members,2026-05-21 13:42:21.006000Z,171114M,Submitted,Active
Cohesity International Limited,Update Members,2026-05-21 13:03:06.973000Z,171049M,Received,Active
Cohesity International Limited,Update Members,2026-05-21 12:42:12.147000Z,171049M,Submitted,Active
Campion Insurances Ltd,Update Members,2026-05-21 11:08:23.559000Z,170959M,Received,Active
Campion Insurances Ltd,Update Members,2026-05-21 10:45:44.585000Z,170959M,Submitted,Active
Advice First Building,Update Members,2026-05-21 10:44:57.821000Z,168504M,Completed,Active
Pepper Finance Corporation Ireland Ltd,Update Members,2026-05-21 09:26:36.835000Z,170857M,Received,Active
Pepper Finance Corporation Ireland Ltd,Update Members,2026-05-21 08:59:59.341000Z,170857M,Submitted,Active
Hammerson Group Management Ltd,Update Members,2026-05-21 08:31:39.462000Z,168158M,Completed,Active
Zendesk International Limited,Update Members,2026-05-20 22:17:28.588000Z,170682M,Received,Active
Zendesk International Limited,Update Members,2026-05-20 22:06:27.624000Z,170682M,Submitted,Active
Spearline Labs Limited,Update Members,2026-05-20 14:58:51.560000Z,168860M,Cancelled,Active
Veolia UK and Ireland,Update Members,2026-05-20 14:58:45.959000Z,163808M,Cancelled,Active
Pramerica Systems Ireland Ltd,Update Members,2026-05-20 12:57:20.460000Z,170250M,Received,Active
Pramerica Systems Ireland Ltd,Update Members,2026-05-20 12:57:19.227000Z,170249M,Received,Active
Pramerica Systems Ireland Ltd,Update Members,2026-05-20 12:36:49.358000Z,170250M,Submitted,Active
Pramerica Systems Ireland Ltd,Update Members,2026-05-20 12:35:45.793000Z,170249M,Submitted,Active
Central Business Equipment Limited,Update Members,2026-05-20 12:33:13.646000Z,170233M,Received,Active
Central Business Equipment Limited,Update Members,2026-05-20 12:21:51.432000Z,170209M,Received,Active
Central Business Equipment Limited,Update Members,2026-05-20 12:21:44.590000Z,170225M,Received,Active
Central Business Equipment Limited,Update Members,2026-05-20 12:11:33.817000Z,170233M,Submitted,Active
Central Business Equipment Limited,Update Members,2026-05-20 12:05:28.201000Z,170225M,Submitted,Active
Central Business Equipment Limited,Update Members,2026-05-20 11:57:30.581000Z,170209M,Submitted,Active
Carlyle Aviation Management Ltd,Update Members,2026-05-20 11:48:53.848000Z,167482M,Completed,Active
Caredoc,Update Members,2026-05-20 10:51:10.917000Z,170163M,Received,Active
Caredoc,Update Members,2026-05-20 10:35:29.201000Z,170163M,Submitted,Active
Hertz Europe Service Centre Limited,Update Members,2026-05-20 10:26:08.133000Z,170133M,Received,Active
Bord na Mona PLC,Update Members,2026-05-20 10:13:15.505000Z,170109M,Received,Active
Hertz Europe Service Centre Limited,Update Members,2026-05-20 10:10:28.513000Z,170133M,Submitted,Active
Bord na Mona PLC,Update Members,2026-05-20 09:54:22.155000Z,170109M,Submitted,Active
AWP Health and Life SA,Update Members,2026-05-20 09:50:41.191000Z,167199M,Completed,Active
Irish Business and Employers Confederation,Update Members,2026-05-20 09:21:15.967000Z,170036M,Received,Active
Irish Business and Employers Confederation,Update Members,2026-05-20 08:50:21.568000Z,170036M,Submitted,Active
Fujitsu Ireland Ret and Death Ben Plan,Update Members,2026-05-20 08:20:32.471000Z,170020M,Received,Active
Fujitsu Ireland Ret and Death Ben Plan,Update Members,2026-05-20 08:00:40.060000Z,170020M,Submitted,Active
Shine,Update Members,2026-05-20 07:49:03.628000Z,154590M,Completed,Active
Demonware Limited,Update Members,2026-05-20 07:33:56.576000Z,167668M,Completed,Active
Etrawler Unlimited Company,Update Members,2026-05-19 15:13:45.723000Z,169792M,Received,Active
Etrawler Unlimited Company,Update Members,2026-05-19 14:54:29.856000Z,169792M,Submitted,Active
Viatel Ireland Ltd,Update Members,2026-05-19 14:36:32.749000Z,169747M,Received,Active
Tony OReilly,Update Members,2026-05-19 14:23:44.855000Z,169737M,Received,Active
Viatel Ireland Ltd,Update Members,2026-05-19 14:16:32.818000Z,169747M,Submitted,Active
Tony OReilly,Update Members,2026-05-19 14:07:04.682000Z,169737M,Submitted,Active
Mathworks Limited,Update Members,2026-05-19 13:00:37.477000Z,166304M,Completed,Active
Caredoc,Update Members,2026-05-19 12:14:15.419000Z,169636M,Received,Active
Caredoc,Update Members,2026-05-19 11:51:37.149000Z,169636M,Submitted,Active
Toasttab Ireland Limited,Update Members,2026-05-19 11:13:14.662000Z,169577M,Received,Active
Toasttab Ireland Limited,Update Members,2026-05-19 10:48:30.598000Z,169577M,Submitted,Active
Schneider Electric Ireland Limited,Update Members,2026-05-19 10:44:38.892000Z,130956M,Completed,Active
Mason Hayes and Curran,Update Members,2026-05-19 09:58:28.662000Z,169509M,Received,Active
Mason Hayes and Curran,Update Members,2026-05-19 09:37:33.936000Z,169509M,Submitted,Active
Howden Insurance Ireland Limited,Update Members,2026-05-19 07:44:41.157000Z,166615M,Completed,Active
Lacework Ireland Ltd,Update Members,2026-05-18 14:45:46.107000Z,169118M,Received,Active
Lacework Ireland Ltd,Update Members,2026-05-18 14:25:04.386000Z,169118M,Submitted,Active
MeiraGTx Ireland DAC,Update Members,2026-05-18 13:42:50.526000Z,169068M,Received,Active
Campion Insurances Ltd,Update Members,2026-05-18 13:41:34.673000Z,159839M,Cancelled,Active
MeiraGTx Ireland DAC,Update Members,2026-05-18 13:21:16.697000Z,169068M,Submitted,Active
CoAction West Cork CLG,Update Members,2026-05-18 13:17:44.132000Z,169052M,Received,Active
CoAction West Cork CLG,Update Members,2026-05-18 13:01:13.572000Z,169052M,Submitted,Active
Veolia UK and Ireland,Update Members,2026-05-18 12:44:05.166000Z,163810M,Completed,Active
Veolia UK and Ireland,Update Members,2026-05-18 12:43:49.922000Z,163809M,Completed,Active
Securitas Security Services Ireland Ltd,Update Members,2026-05-18 10:06:21.945000Z,168945M,Received,Active
Securitas Security Services Ireland Ltd,Update Members,2026-05-18 09:50:49.973000Z,168945M,Submitted,Active
First Citizen Finance Limited,Update Members,2026-05-18 09:36:23.973000Z,167118M,Completed,Active
Securitas Security Services Ireland Ltd,Update Members,2026-05-18 09:30:47.028000Z,168928M,Received,Active
Securitas Security Services Ireland Ltd,Update Members,2026-05-18 09:17:34.041000Z,168915M,Received,Active
Securitas Security Services Ireland Ltd,Update Members,2026-05-18 09:16:32.280000Z,168928M,Submitted,Active
Securitas Security Services Ireland Ltd,Update Members,2026-05-18 08:58:54.408000Z,168915M,Submitted,Active
Magnet Networks Ltd,Update Members,2026-05-18 08:37:29.500000Z,168883M,Received,Active
Magnet Networks Ltd,Update Members,2026-05-18 08:17:26.545000Z,168883M,Submitted,Active
BNL Sciences Limited,Update Members,2026-05-18 07:23:48.415000Z,166656M,Completed,Active
Spearline Labs Limited,Update Members,2026-05-18 07:14:51.815000Z,168860M,Received,Active
Spearline Labs Limited,Update Members,2026-05-18 07:01:36.166000Z,168860M,Submitted,Active
Advice First Building,Update Members,2026-05-15 15:20:16.243000Z,168504M,Received,Active
Unio Employee Benefits,Update Members,2026-05-15 15:19:38.052000Z,163082M,Completed,Active
Expleo Technology Ireland Limited,Update Members,2026-05-15 15:13:41.854000Z,163128M,Completed,Active
BearingPoint Ireland Limited,Update Members,2026-05-15 15:13:41.623000Z,162953M,Completed,Active
Advice First Building,Update Members,2026-05-15 15:00:19.077000Z,168504M,Submitted,Active
Pramerica Systems Ireland Ltd,Update Members,2026-05-15 14:17:47.421000Z,168452M,Received,Active
Shopify International Limited,Update Members,2026-05-15 14:07:32.644000Z,159583M,Completed,Active
Sandvik Mining and Construction Logistics,Update Members,2026-05-15 14:07:30.900000Z,156333M,Completed,Active
Pramerica Systems Ireland Ltd,Update Members,2026-05-15 14:00:00.911000Z,168452M,Submitted,Active
Brinks Cash Services  Ireland  Limited,Update Members,2026-05-15 12:01:37.768000Z,168350M,Received,Active
Brinks Cash Services  Ireland  Limited,Update Members,2026-05-15 11:50:22.558000Z,168345M,Received,Active
Brinks Cash Services  Ireland  Limited,Update Members,2026-05-15 11:41:15.441000Z,168350M,Submitted,Active
Brinks Cash Services  Ireland  Limited,Update Members,2026-05-15 11:34:35.523000Z,168345M,Submitted,Active
Korn Ferry IE Limited,Update Members,2026-05-15 11:23:26.699000Z,168314M,Received,Active
Korn Ferry IE Limited,Update Members,2026-05-15 11:01:23.767000Z,168314M,Submitted,Active
Expleo Technology Ireland Limited,Update Members,2026-05-15 10:53:04.687000Z,168293M,Received,Active
Expleo Technology Ireland Limited,Update Members,2026-05-15 10:38:20.331000Z,168293M,Submitted,Active
Mathworks Limited,Update Members,2026-05-15 09:53:35.862000Z,157572M,Completed,Active
Applus Car Testing Service Ltd,Update Members,2026-05-15 08:06:11.560000Z,166412M,Cancelled,Active
Hammerson Group Management Ltd,Update Members,2026-05-15 07:55:25.426000Z,168158M,Received,Active
Hammerson Group Management Ltd,Update Members,2026-05-15 07:41:51.758000Z,168158M,Submitted,Active
CSC Capital Markets Ireland Ltd,Update Members,2026-05-15 07:27:06.288000Z,163051M,Completed,Active
Demonware Limited,Update Members,2026-05-15 07:15:45.610000Z,153440M,Completed,Active
IKEA Ireland Defined Contribution Scheme,Update Members,2026-05-15 07:14:41.438000Z,159299M,Completed,Active
Expleo Technology Ireland Limited,Update Members,2026-05-15 06:03:19.682000Z,168138M,Received,Active
Expleo Technology Ireland Limited,Update Members,2026-05-15 05:52:05.297000Z,168138M,Submitted,Active
Unio Employee Benefits,Update Members,2026-05-14 20:39:50.678000Z,162272M,Completed,Active
Tony OReilly,Update Members,2026-05-14 16:49:16.396000Z,168002M,Completed,Active
Tony OReilly,Update Members,2026-05-14 16:28:28.980000Z,168002M,Received,Active
Tony OReilly,Update Members,2026-05-14 16:08:31.494000Z,168002M,Submitted,Active
Ethos Engineering Limited,Update Members,2026-05-14 15:47:44.122000Z,130076M,Completed,Active
Matheson Support Services Unlimited Co,Update Members,2026-05-14 15:40:35.676000Z,147321M,Completed,Active
Mathworks Limited,Update Members,2026-05-14 15:05:14.526000Z,162329M,Completed,Active
Assoc of Chartered Certified Accountants,Update Members,2026-05-14 11:23:45.774000Z,163697M,Completed,Active
Demonware Limited,Update Members,2026-05-14 10:37:43.151000Z,163727M,Completed,Active
Demonware Limited,Update Members,2026-05-14 10:26:09.761000Z,167668M,Received,Active
Demonware Limited,Update Members,2026-05-14 10:03:53.639000Z,167668M,Submitted,Active
Countrystyle Foods Ltd,Update Members,2026-05-14 09:28:36.374000Z,162259M,Cancelled,Active
Tenable Network Security Ireland Limited,Update Members,2026-05-14 08:27:11.520000Z,153282M,Completed,Active
Tesla Motors Ireland Limited,Update Members,2026-05-14 08:26:51.256000Z,160941M,Completed,Active
Cohesity International Limited,Update Members,2026-05-14 08:26:40.777000Z,162650M,Completed,Active
Carlyle Aviation Management Ltd,Update Members,2026-05-13 20:55:05.019000Z,167482M,Received,Active
Carlyle Aviation Management Ltd,Update Members,2026-05-13 20:34:48.177000Z,167482M,Submitted,Active
Brinks Cash Services  Ireland  Limited,Update Members,2026-05-13 15:59:08.027000Z,167359M,Received,Active
Brinks Cash Services  Ireland  Limited,Update Members,2026-05-13 15:38:23.472000Z,167359M,Submitted,Active
Cohesity International Limited,Update Members,2026-05-13 14:51:42.952000Z,162653M,Completed,Active
Cohesity International Limited,Update Members,2026-05-13 14:39:49.473000Z,162649M,Completed,Active
First Citizen Finance Limited,Update Members,2026-05-13 14:10:32.406000Z,167105M,Completed,Active
AWP Health and Life SA,Update Members,2026-05-13 13:02:38.066000Z,167199M,Received,Active
Brinks Cash Services  Ireland  Limited,Update Members,2026-05-13 12:49:10.792000Z,167186M,Received,Active
AWP Health and Life SA,Update Members,2026-05-13 12:46:51.118000Z,167199M,Submitted,Active
Brinks Cash Services  Ireland  Limited,Update Members,2026-05-13 12:29:49.784000Z,167186M,Submitted,Active
First Citizen Finance Limited,Update Members,2026-05-13 11:26:40.148000Z,167105M,Received,Active
Darwin,Update Members,2026-05-13 11:26:39.455000Z,167115M,Received,Active
Darwin,Update Members,2026-05-13 11:26:32.926000Z,167117M,Received,Active
First Citizen Finance Limited,Update Members,2026-05-13 11:26:32.919000Z,167118M,Received,Active
First Citizen Finance Limited,Update Members,2026-05-13 11:04:15.316000Z,167118M,Submitted,Active
Darwin,Update Members,2026-05-13 11:03:20.723000Z,167117M,Submitted,Active
Darwin,Update Members,2026-05-13 11:02:37.175000Z,167115M,Submitted,Active
First Citizen Finance Limited,Update Members,2026-05-13 10:59:50.392000Z,167105M,Submitted,Active
Patrick J Tobin Ltd,Update Members,2026-05-13 08:13:27.561000Z,166944M,Received,Active
Patrick J Tobin Ltd,Update Members,2026-05-13 07:54:51.994000Z,166944M,Submitted,Active
Irish Life,Update Members,2026-05-12 15:29:16.834000Z,132181M,Completed,Active
BNL Sciences Limited,Update Members,2026-05-12 15:23:52.901000Z,166656M,Received,Active
BNL Sciences Limited,Update Members,2026-05-12 15:03:16.830000Z,166656M,Submitted,Active
Howden Insurance Ireland Limited,Update Members,2026-05-12 15:00:09.595000Z,166615M,Received,Active
Bord na Mona PLC,Update Members,2026-05-12 14:48:49.263000Z,161152M,Completed,Active
Howden Insurance Ireland Limited,Update Members,2026-05-12 14:29:40.365000Z,166615M,Submitted,Active
Beacon Hospital Sandyford Limited,Update Members,2026-05-12 13:10:16.135000Z,166508M,Received,Active
Beacon Hospital Sandyford Limited,Update Members,2026-05-12 12:51:48.470000Z,166508M,Submitted,Active
National Business Machines Ltd,Update Members,2026-05-12 12:43:41.746000Z,166484M,Received,Active
National Business Machines Ltd,Update Members,2026-05-12 12:22:24.591000Z,166484M,Submitted,Active
Alexion Pharma Int Operations Ltd,Update Members,2026-05-12 11:35:57.906000Z,157108M,Completed,Active
Applus Car Testing Service Ltd,Update Members,2026-05-12 11:14:47.196000Z,166412M,Received,Active
Applus Car Testing Service Ltd,Update Members,2026-05-12 10:50:41.383000Z,166412M,Submitted,Active
Mathworks Limited,Update Members,2026-05-12 08:15:51.468000Z,166304M,Received,Active
Mathworks Limited,Update Members,2026-05-12 07:54:40.846000Z,166304M,Submitted,Active
Cohesity International Limited,Update Members,2026-05-11 14:45:47.476000Z,146541M,Completed,Active
Veolia UK and Ireland,Update Members,2026-05-11 14:33:37.398000Z,163808M,Received,Active
Veolia UK and Ireland,Update Members,2026-05-11 14:33:37.194000Z,163809M,Received,Active
Veolia UK and Ireland,Update Members,2026-05-11 14:33:35.340000Z,163810M,Received,Active
Veolia UK and Ireland,Update Members,2026-05-11 14:14:20.558000Z,163810M,Submitted,Active
Veolia UK and Ireland,Update Members,2026-05-11 14:13:48.258000Z,163809M,Submitted,Active
Veolia UK and Ireland,Update Members,2026-05-11 14:13:13.135000Z,163808M,Submitted,Active
SYS Financial Planning,Update Members,2026-05-11 14:05:09.503000Z,161741M,Cancelled,Active
Expleo Technology Ireland Limited,Update Members,2026-05-11 13:55:21.157000Z,163781M,Received,Active
Expleo Technology Ireland Limited,Update Members,2026-05-11 13:37:06.720000Z,163781M,Submitted,Active
Society of Saint Vincent De Paul,Update Members,2026-05-11 13:20:50.696000Z,105785M,Completed,Active
Demonware Limited,Update Members,2026-05-11 11:03:43.057000Z,163740M,Received,Active
Demonware Limited,Update Members,2026-05-11 10:50:26.181000Z,163727M,Received,Active
Demonware Limited,Update Members,2026-05-11 10:47:29.827000Z,163740M,Submitted,Active
Demonware Limited,Update Members,2026-05-11 10:27:50.571000Z,163727M,Submitted,Active
Grifols Worldwide Operations Ltd,Update Members,2026-05-11 10:26:12.144000Z,159748M,Completed,Active
Assoc of Chartered Certified Accountants,Update Members,2026-05-11 10:25:26.268000Z,163697M,Received,Active
Assoc of Chartered Certified Accountants,Update Members,2026-05-11 09:52:44.510000Z,163697M,Submitted,Active
MBEU Designated Activity Company,Update Members,2026-05-11 09:52:43.044000Z,163671M,Received,Active
MBEU Designated Activity Company,Update Members,2026-05-11 09:29:37.467000Z,163671M,Submitted,Active
Schneider Electric Ireland Limited,Update Members,2026-05-11 08:19:21.089000Z,159238M,Completed,Active
