Organization Name,Use Case Name,Submission Date and Time (UTC),Reference Number,Submission Status,Organization Status
Booking Holdings Financial Services Intl Ltd,Payment Schedules,2026-05-21 16:05:22.015000Z,171245M,Submitted,Active
Howden Insurance Ireland Limited,Payment Schedules,2026-05-21 16:03:09.386000Z,171242M,Submitted,Active
Howden Insurance Ireland Limited,Payment Schedules,2026-05-21 16:01:56.503000Z,171241M,Submitted,Active
Electronic Arts Ireland Limited,Payment Schedules,2026-05-21 15:51:51.509000Z,171225M,Received,Active
Cordavis Limited,Payment Schedules,2026-05-21 15:48:00.347000Z,169816M,Completed,Active
Shop Direct Ireland Limited,Payment Schedules,2026-05-21 15:45:43.171000Z,171233M,Submitted,Active
Shop Direct Ireland Limited,Payment Schedules,2026-05-21 15:44:44.540000Z,171232M,Submitted,Active
Gaeloideachas Pension Plan,Payment Schedules,2026-05-21 15:43:40Z,171231M,Submitted,Active
Electronic Arts Ireland Limited,Payment Schedules,2026-05-21 15:32:21.936000Z,171225M,Submitted,Active
Fohntech Ireland Ltd,Payment Schedules,2026-05-21 15:28:22.768000Z,171202M,Received,Active
Monument Insurance Services Ltd,Payment Schedules,2026-05-21 15:28:22.272000Z,171207M,Received,Active
Mason Hayes and Curran,Payment Schedules,2026-05-21 15:21:53.828000Z,169499M,Completed,Active
Concentrix Services Ireland Limited,Payment Schedules,2026-05-21 15:14:36.729000Z,169697M,Completed,Active
Unio Employee Benefits,Payment Schedules,2026-05-21 15:12:29.406000Z,171192M,Received,Active
Aldi Stores Ireland,Payment Schedules,2026-05-21 15:12:28.463000Z,171191M,Received,Active
HelsinnBirex Pharmaceuticals Ltd,Payment Schedules,2026-05-21 15:12:23.253000Z,169418M,Completed,Active
Monument Insurance Services Ltd,Payment Schedules,2026-05-21 15:10:52.155000Z,171207M,Submitted,Active
Coinbase Ireland Limited,Payment Schedules,2026-05-21 15:09:52.081000Z,169722M,Completed,Active
K and L Gates Ireland LLP,Payment Schedules,2026-05-21 15:08:31.598000Z,169820M,Completed,Active
Beyond Now DAC,Payment Schedules,2026-05-21 15:04:34.092000Z,169527M,Completed,Active
Fohntech Ireland Ltd,Payment Schedules,2026-05-21 15:03:59.802000Z,171202M,Submitted,Active
Unio Employee Benefits,Payment Schedules,2026-05-21 14:54:18.297000Z,171192M,Submitted,Active
Aldi Stores Ireland,Payment Schedules,2026-05-21 14:53:53.524000Z,171191M,Submitted,Active
SAS Crew Services Ltd,Payment Schedules,2026-05-21 14:50:12.392000Z,169599M,Completed,Active
Connexus Communications Ltd,Payment Schedules,2026-05-21 14:48:14.667000Z,171156M,Received,Active
Zellis,Payment Schedules,2026-05-21 14:48:13.656000Z,171164M,Received,Active
Premier Lotteries Ireland DAC,Payment Schedules,2026-05-21 14:48:07.447000Z,171163M,Received,Active
Unio Employee Benefits,Payment Schedules,2026-05-21 14:45:17.109000Z,166607M,Completed,Active
Magnum ICC Ireland Limited,Payment Schedules,2026-05-21 14:36:00.532000Z,171146M,Received,Active
Zellis,Payment Schedules,2026-05-21 14:29:38.345000Z,171164M,Submitted,Active
Premier Lotteries Ireland DAC,Payment Schedules,2026-05-21 14:29:33.333000Z,171163M,Submitted,Active
Connexus Communications Ltd,Payment Schedules,2026-05-21 14:25:56.103000Z,171156M,Submitted,Active
Magnum ICC Ireland Limited,Payment Schedules,2026-05-21 14:18:39.828000Z,171146M,Submitted,Active
Unio Employee Benefits,Payment Schedules,2026-05-21 14:09:47.382000Z,163666M,Completed,Active
Donegal Forklifts Ltd,Payment Schedules,2026-05-21 14:08:16.962000Z,167583M,Cancelled,Active
NFP Ireland Consultants Ltd,Payment Schedules,2026-05-21 14:08:16.354000Z,167142M,Cancelled,Active
Sandvik Mining and Construction Logistics,Payment Schedules,2026-05-21 13:58:11.759000Z,171109M,Received,Active
Unio Employee Benefits,Payment Schedules,2026-05-21 13:55:48.136000Z,162533M,Completed,Active
Unio Employee Benefits,Payment Schedules,2026-05-21 13:54:51.582000Z,163061M,Completed,Active
Monument Insurance Services Ltd,Payment Schedules,2026-05-21 13:45:23.439000Z,171096M,Received,Active
Kingfisher,Payment Schedules,2026-05-21 13:45:11.443000Z,171095M,Received,Active
Unio Employee Benefits,Payment Schedules,2026-05-21 13:44:49.881000Z,162910M,Completed,Active
