Organization Name,Use Case Name,Submission Date and Time (UTC),Reference Number,Submission Status,Organization Status
Ecocem Ireland Limited,Update Members,2026-06-25 12:25:21.129000Z,189809M,Submitted,Active
Intercom R and D Unlimited Company,Update Members,2026-06-25 10:40:49.151000Z,189718M,Received,Active
Intercom R and D Unlimited Company,Update Members,2026-06-25 10:22:37.686000Z,189718M,Submitted,Active
Kaseya Limited,Update Members,2026-06-24 16:36:17.667000Z,189423M,Received,Active
Kaseya Limited,Update Members,2026-06-24 16:19:45.321000Z,189423M,Submitted,Active
Kaseya Limited,Update Members,2026-06-24 16:02:21.728000Z,189394M,Received,Active
Kaseya Limited,Update Members,2026-06-24 15:40:24.598000Z,189394M,Submitted,Active
Silverpail Dairy Irl Unlinited Company,Update Members,2026-06-24 14:33:15.735000Z,186444M,Cancelled,Active
Expleo Technology Ireland Limited,Update Members,2026-06-24 14:31:24.464000Z,187691M,Completed,Active
Focus Ireland,Update Members,2026-06-24 14:31:18.944000Z,160411M,Completed,Active
eFlexes,Update Members,2026-06-24 13:27:36.202000Z,189266M,Received,Active
eFlexes,Update Members,2026-06-24 12:59:04.360000Z,189266M,Submitted,Active
Firhouse Credit Union Ltd,Update Members,2026-06-24 12:24:39.912000Z,189238M,Received,Active
Firhouse Credit Union Ltd,Update Members,2026-06-24 12:02:42.497000Z,189238M,Submitted,Active
Stantec UK Limited Ireland Branch,Update Members,2026-06-24 10:59:49.033000Z,189170M,Received,Active
Stantec UK Limited Ireland Branch,Update Members,2026-06-24 10:34:13.056000Z,189170M,Submitted,Active
Securitas Security Services Ireland Ltd,Update Members,2026-06-24 10:33:36.760000Z,185238M,Completed,Active
Securitas Security Services Ireland Ltd,Update Members,2026-06-24 10:33:30.546000Z,185260M,Completed,Active
ManpowerGroup Ireland Ltd,Update Members,2026-06-24 10:33:29.475000Z,186602M,Completed,Active
Roadstone Limited,Update Members,2026-06-24 10:33:23.158000Z,185098M,Completed,Active
Cohesity International Limited,Update Members,2026-06-24 10:33:16.801000Z,146539M,Completed,Active
Abtran,Update Members,2026-06-24 09:14:30.685000Z,189100M,Received,Active
Prosper Group Fingal and Meath,Update Members,2026-06-24 08:59:17.372000Z,189081M,Received,Active
Prosper Group Fingal and Meath,Update Members,2026-06-24 08:59:16.830000Z,189080M,Received,Active
Abtran,Update Members,2026-06-24 08:55:53.335000Z,189100M,Submitted,Active
Hertz Europe Service Centre Limited,Update Members,2026-06-24 08:42:40.010000Z,189071M,Received,Active
Prosper Group Fingal and Meath,Update Members,2026-06-24 08:35:26.508000Z,189081M,Submitted,Active
Prosper Group Fingal and Meath,Update Members,2026-06-24 08:33:42.904000Z,189080M,Submitted,Active
Hertz Europe Service Centre Limited,Update Members,2026-06-24 08:23:35.503000Z,189071M,Submitted,Active
Shine,Update Members,2026-06-23 14:04:56.068000Z,188803M,Received,Active
Unio Employee Benefits,Update Members,2026-06-23 14:04:53.341000Z,188796M,Received,Active
Sandvik Mining and Construction Logistics,Update Members,2026-06-23 13:49:55.314000Z,188787M,Received,Active
Sandvik Mining and Construction Logistics,Update Members,2026-06-23 13:49:52.578000Z,188786M,Received,Active
Sandvik Mining and Construction Logistics,Update Members,2026-06-23 13:49:45.024000Z,188785M,Received,Active
Shine,Update Members,2026-06-23 13:42:15.283000Z,188803M,Submitted,Active
Unio Employee Benefits,Update Members,2026-06-23 13:35:04.670000Z,188796M,Submitted,Active
Sandvik Mining and Construction Logistics,Update Members,2026-06-23 13:26:50.747000Z,188787M,Submitted,Active
Sandvik Mining and Construction Logistics,Update Members,2026-06-23 13:25:40.425000Z,188786M,Submitted,Active
Sandvik Mining and Construction Logistics,Update Members,2026-06-23 13:24:19.167000Z,188785M,Submitted,Active
Mason Hayes and Curran,Update Members,2026-06-23 10:24:05.819000Z,185446M,Completed,Active
The Irish Times,Update Members,2026-06-23 09:18:45.671000Z,187608M,Completed,Active
First Citizen Finance Limited,Update Members,2026-06-23 08:36:43.356000Z,185957M,Completed,Active
Focus Ireland,Update Members,2026-06-23 08:11:50.648000Z,185848M,Completed,Active
Carlyle Aviation Management Ltd,Update Members,2026-06-22 15:45:07.007000Z,185568M,Cancelled,Active
Securitas Security Services Ireland Ltd,Update Members,2026-06-22 15:22:56.403000Z,185195M,Cancelled,Active
Darwin,Update Members,2026-06-22 12:59:37.143000Z,183801M,Completed,Active
RWS Group,Update Members,2026-06-22 11:53:05.433000Z,188294M,Received,Active
Renaissance Services of Europe Limited,Update Members,2026-06-22 11:46:39.151000Z,184564M,Completed,Active
RWS Group,Update Members,2026-06-22 11:30:24.960000Z,188294M,Submitted,Active
Premier Lotteries Ireland DAC,Update Members,2026-06-22 09:32:39.888000Z,188193M,Received,Active
Premier Lotteries Ireland DAC,Update Members,2026-06-22 09:11:10.501000Z,188193M,Submitted,Active
Expleo Technology Ireland Limited,Update Members,2026-06-22 09:00:04.545000Z,185211M,Completed,Active
Brinks Cash Services  Ireland  Limited,Update Members,2026-06-22 08:56:13.555000Z,168345M,Completed,Active
DLA Piper Ireland LLP,Update Members,2026-06-22 08:08:30.555000Z,183864M,Completed,Active
Campion Insurances Ltd,Update Members,2026-06-22 08:08:19.685000Z,170959M,Completed,Active
Howden Insurance Ireland Limited,Update Members,2026-06-22 08:08:03.569000Z,185339M,Completed,Active
Roadstone Limited,Update Members,2026-06-22 08:07:42.444000Z,185333M,Completed,Active
Immedis Ltd,Update Members,2026-06-22 07:01:50.546000Z,188132M,Received,Active
Immedis Ltd,Update Members,2026-06-22 06:39:55.107000Z,188132M,Submitted,Active
WWTS Limited,Update Members,2026-06-20 13:17:50.645000Z,186063M,Cancelled,Active
Expleo Technology Ireland Limited,Update Members,2026-06-19 14:29:37.461000Z,187691M,Received,Active
Bord na Mona PLC,Update Members,2026-06-19 14:16:43.470000Z,187687M,Received,Active
Expleo Technology Ireland Limited,Update Members,2026-06-19 14:08:25.390000Z,187691M,Submitted,Active
Mathworks Limited,Update Members,2026-06-19 14:01:53.299000Z,187664M,Received,Active
Bord na Mona PLC,Update Members,2026-06-19 13:59:07.912000Z,187687M,Submitted,Active
Mathworks Limited,Update Members,2026-06-19 13:33:50.131000Z,187664M,Submitted,Active
The Irish Times,Update Members,2026-06-19 12:24:08.239000Z,187611M,Received,Active
The Irish Times,Update Members,2026-06-19 12:24:03.768000Z,187608M,Received,Active
The Irish Times,Update Members,2026-06-19 12:07:51.680000Z,187611M,Submitted,Active
The Irish Times,Update Members,2026-06-19 12:05:18.085000Z,187608M,Submitted,Active
Enterprise Ire IDA and Science Foundation,Update Members,2026-06-19 08:34:25.229000Z,185340M,Completed,Active
Plan International Ireland,Update Members,2026-06-19 08:05:07.577000Z,187475M,Received,Active
Plan International Ireland,Update Members,2026-06-19 07:50:02.673000Z,187475M,Submitted,Active
Irish Residential Properties,Update Members,2026-06-19 07:48:04.100000Z,183007M,Completed,Active
Pepper Finance Corporation Ireland Ltd,Update Members,2026-06-18 15:23:35.337000Z,187119M,Received,Active
Pepper Finance Corporation Ireland Ltd,Update Members,2026-06-18 14:57:00.826000Z,187119M,Submitted,Active
Techrete Ireland Limited,Update Members,2026-06-18 13:05:18.098000Z,186999M,Received,Active
Techrete Ireland Limited,Update Members,2026-06-18 13:05:07.252000Z,186991M,Received,Active
Techrete Ireland Limited,Update Members,2026-06-18 12:49:52.859000Z,186999M,Submitted,Active
Techrete Ireland Limited,Update Members,2026-06-18 12:43:32.005000Z,186991M,Submitted,Active
Pramerica Systems Ireland Ltd,Update Members,2026-06-18 07:16:57.494000Z,184444M,Completed,Active
ManpowerGroup Ireland Ltd,Update Members,2026-06-17 15:43:04.989000Z,186602M,Received,Active
Tesla Motors Ireland Limited,Update Members,2026-06-17 15:29:51.439000Z,175577M,Completed,Active
ManpowerGroup Ireland Ltd,Update Members,2026-06-17 15:16:01.832000Z,186602M,Submitted,Active
Demonware Limited,Update Members,2026-06-17 14:37:36.072000Z,184381M,Completed,Active
Patrick J Tobin Ltd,Update Members,2026-06-17 14:01:18.733000Z,186499M,Received,Active
Patrick J Tobin Ltd,Update Members,2026-06-17 13:37:04.314000Z,186499M,Submitted,Active
Silverpail Dairy Irl Unlinited Company,Update Members,2026-06-17 12:18:52.156000Z,186444M,Received,Active
Silverpail Dairy Irl Unlinited Company,Update Members,2026-06-17 12:01:52.190000Z,186444M,Submitted,Active
Viatel Ireland Ltd,Update Members,2026-06-17 10:01:35.738000Z,184049M,Completed,Active
Demonware Limited,Update Members,2026-06-17 09:13:15.070000Z,184389M,Cancelled,Active
