Organization Name,Use Case Name,Submission Date and Time (UTC),Reference Number,Submission Status,Organization Status
Treaty Software Limited,Add Members,2026-06-09 14:32:54.212000Z,182967M,Submitted,Active
Merchants Quay Project Limited,Add Members,2026-06-09 14:31:10.589000Z,176438M,Completed,Active
McKesson Cork Business Solutions UC,Add Members,2026-06-09 14:31:10.242000Z,182948M,Received,Active
Irish Life,Add Members,2026-06-09 14:31:09.630000Z,182933M,Received,Active
ProAmpac Donegal Limited,Add Members,2026-06-09 14:31:04.486000Z,182935M,Received,Active
Moneywise Financial Planning Ltd,Add Members,2026-06-09 14:31:03.681000Z,182929M,Received,Active
SYS Financial Planning,Add Members,2026-06-09 14:21:00.773000Z,182957M,Submitted,Active
Unio Employee Benefits,Add Members,2026-06-09 14:17:10.301000Z,182927M,Received,Active
Moneywise Financial Planning Ltd,Add Members,2026-06-09 14:17:09.663000Z,182926M,Received,Active
Society of Saint Vincent De Paul,Add Members,2026-06-09 14:17:08.957000Z,182919M,Received,Active
McKesson Cork Business Solutions UC,Add Members,2026-06-09 14:15:42.064000Z,182948M,Submitted,Active
ProAmpac Donegal Limited,Add Members,2026-06-09 14:07:29.569000Z,182935M,Submitted,Active
Irish Life,Add Members,2026-06-09 14:05:57.852000Z,182933M,Submitted,Active
Trinity Foundation,Add Members,2026-06-09 14:05:11.056000Z,176570M,Completed,Active
Mannok Cement Limited,Add Members,2026-06-09 14:01:09.605000Z,176536M,Completed,Active
Moneywise Financial Planning Ltd,Add Members,2026-06-09 14:01:07.087000Z,182929M,Submitted,Active
Unio Employee Benefits,Add Members,2026-06-09 14:00:01.679000Z,182927M,Submitted,Active
Irish Life,Add Members,2026-06-09 13:59:58.758000Z,182909M,Received,Active
Croi Laighean Credit Union,Add Members,2026-06-09 13:59:58.431000Z,182910M,Received,Active
Moneywise Financial Planning Ltd,Add Members,2026-06-09 13:59:29.598000Z,182926M,Submitted,Active
Sappho Group Employee Benefits Plan,Add Members,2026-06-09 13:53:07.650000Z,176684M,Completed,Active
Krispy Kreme Ireland Ltd,Add Members,2026-06-09 13:49:21.964000Z,176556M,Completed,Active
Society of Saint Vincent De Paul,Add Members,2026-06-09 13:48:33.425000Z,182919M,Submitted,Active
Glennon Employee Benefits,Add Members,2026-06-09 13:46:02.619000Z,182903M,Received,Active
AXA MPS Financial DAC,Add Members,2026-06-09 13:46:00.940000Z,182900M,Received,Active
Croi Laighean Credit Union,Add Members,2026-06-09 13:39:32.582000Z,182910M,Submitted,Active
Irish Life,Add Members,2026-06-09 13:38:18.496000Z,182909M,Submitted,Active
Irish Life,Add Members,2026-06-09 13:32:24.004000Z,182894M,Received,Active
Open Text Ireland Ltd,Add Members,2026-06-09 13:32:23.589000Z,182888M,Received,Active
Intercom R and D Unlimited Company,Add Members,2026-06-09 13:32:22.526000Z,182883M,Received,Active
Net Zero Group,Add Members,2026-06-09 13:27:25.676000Z,177841M,Completed,Active
Glennon Employee Benefits,Add Members,2026-06-09 13:25:59.541000Z,182903M,Submitted,Active
AXA MPS Financial DAC,Add Members,2026-06-09 13:23:10.732000Z,182900M,Submitted,Active
St Vincents Healthcare Group,Add Members,2026-06-09 13:15:08.110000Z,182880M,Received,Active
Irish Life,Add Members,2026-06-09 13:13:11.026000Z,182894M,Submitted,Active
Bon Secours Health System CLG,Add Members,2026-06-09 13:10:37.170000Z,177768M,Completed,Active
Bidvest Noonan  ROI  Limited,Add Members,2026-06-09 13:09:35.189000Z,176434M,Completed,Active
Open Text Ireland Ltd,Add Members,2026-06-09 13:07:06.017000Z,182888M,Submitted,Active
Intercom R and D Unlimited Company,Add Members,2026-06-09 13:03:27.772000Z,182883M,Submitted,Active
Zellis,Add Members,2026-06-09 13:01:17.365000Z,182862M,Received,Active
St Vincents Healthcare Group,Add Members,2026-06-09 12:59:24.537000Z,182880M,Submitted,Active
Bon Secours Health System CLG,Add Members,2026-06-09 12:57:03.055000Z,177767M,Completed,Active
Bon Secours Health System CLG,Add Members,2026-06-09 12:54:57.204000Z,177769M,Completed,Active
Western Care Association,Add Members,2026-06-09 12:46:05.851000Z,182759M,Completed,Active
St Vincents Healthcare Group,Add Members,2026-06-09 12:39:15.864000Z,176573M,Completed,Active
Zellis,Add Members,2026-06-09 12:34:58.478000Z,182862M,Submitted,Active
Coca Cola,Add Members,2026-06-09 12:29:46.542000Z,182848M,Received,Active
Specialist Technical Engineering Serv,Add Members,2026-06-09 12:29:44.649000Z,182852M,Received,Active
FIS Consulting Services Irl Limited,Add Members,2026-06-09 12:14:34.023000Z,182837M,Received,Active
Aon,Add Members,2026-06-09 12:14:30.471000Z,182842M,Received,Active
Specialist Technical Engineering Serv,Add Members,2026-06-09 12:07:36.841000Z,182852M,Submitted,Active
Coca Cola,Add Members,2026-06-09 12:00:04.047000Z,182848M,Submitted,Active
P and S Civil Works Limited,Add Members,2026-06-09 11:57:12.509000Z,176498M,Completed,Active
Aon,Add Members,2026-06-09 11:53:47.653000Z,182842M,Submitted,Active
Irish Life,Add Members,2026-06-09 11:47:16.492000Z,182789M,Cancelled,Active
FIS Consulting Services Irl Limited,Add Members,2026-06-09 11:45:40.302000Z,182837M,Submitted,Active
Freshways limited Company,Add Members,2026-06-09 11:43:52.290000Z,176432M,Completed,Active
Dunnhumby Ireland Limited,Add Members,2026-06-09 11:43:31.666000Z,182830M,Received,Active
Kerry Group Plc,Add Members,2026-06-09 11:33:20.457000Z,176696M,Completed,Active
Society of Saint Vincent De Paul,Add Members,2026-06-09 11:32:39.815000Z,176503M,Completed,Active
Provest Private Clients Ltd,Add Members,2026-06-09 11:30:59.207000Z,176601M,Completed,Active
Veolia UK and Ireland,Add Members,2026-06-09 11:28:22.739000Z,182826M,Received,Active
Volkswagen Financial Services Ireland,Add Members,2026-06-09 11:28:22.185000Z,182824M,Received,Active
Irish Life,Add Members,2026-06-09 11:28:21.622000Z,182819M,Received,Active
Pramerica Systems Ireland Ltd,Add Members,2026-06-09 11:28:18.362000Z,182812M,Received,Active
Dunnhumby Ireland Limited,Add Members,2026-06-09 11:25:02.700000Z,182830M,Submitted,Active
Pramerica Systems Ireland Ltd,Add Members,2026-06-09 11:21:33.973000Z,176627M,Completed,Active
Synergy Health Ireland Limited,Add Members,2026-06-09 11:20:08.493000Z,176388M,Completed,Active
Maples Group,Add Members,2026-06-09 11:13:51.014000Z,182797M,Received,Active
Keyloop Ireland Ltd,Add Members,2026-06-09 11:13:49.641000Z,182805M,Received,Active
Veolia UK and Ireland,Add Members,2026-06-09 11:13:49.543000Z,182826M,Submitted,Active
Society of Saint Vincent De Paul,Add Members,2026-06-09 11:13:42.403000Z,182806M,Received,Active
Kingsbridge Private Hospital Sligo Ltd,Add Members,2026-06-09 11:12:30.214000Z,176623M,Completed,Active
Volkswagen Financial Services Ireland,Add Members,2026-06-09 11:11:53.322000Z,182824M,Submitted,Active
Howden Insurance Ireland Limited,Add Members,2026-06-09 11:11:19.542000Z,176628M,Completed,Active
Irish Life,Add Members,2026-06-09 11:10:03.866000Z,182791M,Cancelled,Active
Irish Life,Add Members,2026-06-09 11:09:06.192000Z,182819M,Submitted,Active
Irish Life,Add Members,2026-06-09 11:08:36.470000Z,182787M,Completed,Active
Pramerica Systems Ireland Ltd,Add Members,2026-06-09 11:02:24.141000Z,182812M,Submitted,Active
Brinks Cash Services  Ireland  Limited,Add Members,2026-06-09 11:00:30.684000Z,172909M,Completed,Active
Irish Life,Add Members,2026-06-09 10:59:06.205000Z,182791M,Received,Active
Irish Life,Add Members,2026-06-09 10:58:57.992000Z,182789M,Received,Active
Demonware Limited,Add Members,2026-06-09 10:57:40.831000Z,176488M,Completed,Active
Society of Saint Vincent De Paul,Add Members,2026-06-09 10:56:29.935000Z,182806M,Submitted,Active
Keyloop Ireland Ltd,Add Members,2026-06-09 10:56:25.329000Z,182805M,Submitted,Active
Maples Group,Add Members,2026-06-09 10:51:39.808000Z,182797M,Submitted,Active
Unio Employee Benefits,Add Members,2026-06-09 10:47:41.134000Z,176040M,Completed,Active
Sunbeam House Services CLG,Add Members,2026-06-09 10:44:16.119000Z,182778M,Received,Active
Irish Life,Add Members,2026-06-09 10:44:12.334000Z,182787M,Received,Active
Irish Life,Add Members,2026-06-09 10:38:49.243000Z,182791M,Submitted,Active
Irish Life,Add Members,2026-06-09 10:37:56Z,182789M,Submitted,Active
Unio Employee Benefits,Add Members,2026-06-09 10:30:17.602000Z,182773M,Received,Active
Irish Life,Add Members,2026-06-09 10:29:47.008000Z,182787M,Submitted,Active
BMC Software Ireland Limited,Add Members,2026-06-09 10:26:17.080000Z,167654M,Completed,Active
Sunbeam House Services CLG,Add Members,2026-06-09 10:20:00.478000Z,182778M,Submitted,Active
Chartered Life,Add Members,2026-06-09 10:16:07.235000Z,182762M,Received,Active
Western Care Association,Add Members,2026-06-09 10:16:06.968000Z,182759M,Received,Active
Unio Employee Benefits,Add Members,2026-06-09 10:10:16.484000Z,182773M,Submitted,Active
SYS Financial Planning,Add Members,2026-06-09 10:06:04.011000Z,167954M,Completed,Active
The Agricultural Trust,Add Members,2026-06-09 10:03:18.580000Z,167893M,Completed,Active
Nutricia Ireland Limited,Add Members,2026-06-09 10:00:23.102000Z,182751M,Received,Active
Wolters Kluwer Ireland Ltd,Add Members,2026-06-09 10:00:23.038000Z,182748M,Received,Active
Chartered Life,Add Members,2026-06-09 09:56:00.796000Z,182762M,Submitted,Active
Western Care Association,Add Members,2026-06-09 09:55:16.998000Z,182759M,Submitted,Active
Aon,Add Members,2026-06-09 09:44:59.476000Z,182743M,Received,Active
Nutricia Ireland Limited,Add Members,2026-06-09 09:44:10.970000Z,182751M,Submitted,Active
Wolters Kluwer Ireland Ltd,Add Members,2026-06-09 09:35:11.738000Z,182748M,Submitted,Active
Aon,Add Members,2026-06-09 09:23:12.608000Z,182743M,Submitted,Active
Unio Employee Benefits,Add Members,2026-06-09 08:47:17.968000Z,167864M,Completed,Active
Etrawler Unlimited Company,Add Members,2026-06-09 08:45:52.830000Z,182715M,Received,Active
Align Advisory Limited,Add Members,2026-06-09 08:32:29.617000Z,182702M,Received,Active
Etrawler Unlimited Company,Add Members,2026-06-09 08:31:07.906000Z,182715M,Submitted,Active
Aon,Add Members,2026-06-09 08:24:07.780000Z,167239M,Completed,Active
Align Advisory Limited,Add Members,2026-06-09 08:07:27.039000Z,182702M,Submitted,Active
Aon,Add Members,2026-06-09 07:49:52.102000Z,182691M,Received,Active
Aon,Add Members,2026-06-09 07:23:49.194000Z,182691M,Submitted,Active
Fehily Timoney and Company Limited,Add Members,2026-06-09 07:09:07.969000Z,182688M,Received,Active
Fehily Timoney and Company Limited,Add Members,2026-06-09 06:47:24.556000Z,182688M,Submitted,Active
Aon,Add Members,2026-06-08 17:20:00.819000Z,182547M,Received,Active
BearingPoint Ireland Limited,Add Members,2026-06-08 17:20:00.189000Z,182544M,Received,Active
Aon,Add Members,2026-06-08 16:55:58.143000Z,182547M,Submitted,Active
BearingPoint Ireland Limited,Add Members,2026-06-08 16:53:54.681000Z,182544M,Submitted,Active
AG1 EU Enterprise Limited,Add Members,2026-06-08 16:35:13.517000Z,182518M,Received,Active
Fehily Timoney and Company Limited,Add Members,2026-06-08 16:23:51.012000Z,182528M,Error during submission,Active
AG1 EU Enterprise Limited,Add Members,2026-06-08 16:09:01.560000Z,182518M,Submitted,Active
StackAdapt Ireland Limited,Add Members,2026-06-08 16:07:58.914000Z,182498M,Received,Active
Savills,Add Members,2026-06-08 16:04:27.360000Z,176038M,Completed,Active
Savills,Add Members,2026-06-08 15:56:16.833000Z,176041M,Completed,Active
StackAdapt Ireland Limited,Add Members,2026-06-08 15:47:55.060000Z,182498M,Submitted,Active
Edf Renewables Ireland Limited,Add Members,2026-06-08 15:41:00.935000Z,182488M,Received,Active
Wallace Financial Consultants Ltd,Add Members,2026-06-08 15:40:57.389000Z,182484M,Received,Active
Nelipak,Add Members,2026-06-08 15:40:49.081000Z,182476M,Received,Active
Unio Employee Benefits,Add Members,2026-06-08 15:40:47.644000Z,182478M,Received,Active
Tara Agnew WMA,Add Members,2026-06-08 15:38:30.912000Z,176176M,Completed,Active
Irish Life,Add Members,2026-06-08 15:29:23.840000Z,177832M,Cancelled,Active
North Cork Cooperative Creameries Ltd,Add Members,2026-06-08 15:27:27.579000Z,182474M,Received,Active
O Neill O Malley Ltd,Add Members,2026-06-08 15:27:22.078000Z,177893M,Received,Active
Edf Renewables Ireland Limited,Add Members,2026-06-08 15:26:04.532000Z,182488M,Submitted,Active
Wallace Financial Consultants Ltd,Add Members,2026-06-08 15:20:20.095000Z,182484M,Submitted,Active
Unio Employee Benefits,Add Members,2026-06-08 15:16:46.930000Z,182478M,Submitted,Active
Nelipak,Add Members,2026-06-08 15:14:20.127000Z,182476M,Submitted,Active
Barclay Chemicals Manufacturing Limited,Add Members,2026-06-08 15:11:43.064000Z,176519M,Completed,Active
North Cork Cooperative Creameries Ltd,Add Members,2026-06-08 15:10:19.922000Z,182474M,Submitted,Active
O Neill O Malley Ltd,Add Members,2026-06-08 15:01:58.388000Z,177893M,Submitted,Active
Spearline Labs Limited,Add Members,2026-06-08 14:58:20.550000Z,168861M,Completed,Active
Unio Employee Benefits,Add Members,2026-06-08 14:54:29.372000Z,175863M,Completed,Active
NFP Ireland Consultants Ltd,Add Members,2026-06-08 14:51:59.310000Z,176408M,Completed,Active
Moyglare Stud Farm,Add Members,2026-06-08 14:47:23.121000Z,176119M,Completed,Active
Open Text Ireland Ltd,Add Members,2026-06-08 14:40:21.780000Z,176111M,Completed,Active
Orsted Onshore Ireland Holdings Limited,Add Members,2026-06-08 14:31:05.742000Z,176112M,Completed,Active
Chemifloc Limited,Add Members,2026-06-08 14:29:55.140000Z,177861M,Received,Active
NFP Ireland Consultants Ltd,Add Members,2026-06-08 14:26:27.938000Z,176037M,Completed,Active
Unio Employee Benefits,Add Members,2026-06-08 14:22:01.447000Z,176047M,Completed,Active
Kerry Parents and Friends Association,Add Members,2026-06-08 14:21:41.312000Z,177669M,Completed,Active
Irish Life,Add Members,2026-06-08 14:15:30.518000Z,177832M,Received,Active
IPB Insurance CLG,Add Members,2026-06-08 14:15:27.240000Z,177838M,Received,Active
Net Zero Group,Add Members,2026-06-08 14:15:25.432000Z,177841M,Received,Active
Chemifloc Limited,Add Members,2026-06-08 14:14:14.726000Z,177861M,Submitted,Active
Oneview Limited,Add Members,2026-06-08 14:06:49.368000Z,176048M,Completed,Active
Co Wexford Community Workshop New Ross CLG ta Cumas,Add Members,2026-06-08 14:02:38.684000Z,177682M,Completed,Active
SYS Financial Planning,Add Members,2026-06-08 13:59:57.095000Z,177820M,Received,Active
SR Technics Airfoil Services Limited,Add Members,2026-06-08 13:58:11.276000Z,175859M,Completed,Active
Mars Foods Ireland Ltd,Add Members,2026-06-08 13:57:25.573000Z,175838M,Completed,Active
F J Hanly and Associates,Add Members,2026-06-08 13:57:24.850000Z,176490M,Completed,Active
Net Zero Group,Add Members,2026-06-08 13:55:12.717000Z,177841M,Submitted,Active
MCG Financial Services Ltd,Add Members,2026-06-08 13:55:07.505000Z,169862M,Completed,Active
F J Hanly and Associates,Add Members,2026-06-08 13:54:02.029000Z,176483M,Completed,Active
IPB Insurance CLG,Add Members,2026-06-08 13:52:44.829000Z,177838M,Submitted,Active
Artmax Ireland Management Ltd,Add Members,2026-06-08 13:50:31.617000Z,175894M,Completed,Active
Irish Life,Add Members,2026-06-08 13:45:41.776000Z,177832M,Submitted,Active
Mars Foods Ireland Ltd,Add Members,2026-06-08 13:44:05.948000Z,176095M,Completed,Active
C and F Tooling Ltd,Add Members,2026-06-08 13:44:00.480000Z,177805M,Received,Active
Unio Employee Benefits,Add Members,2026-06-08 13:37:41.899000Z,176148M,Completed,Active
SYS Financial Planning,Add Members,2026-06-08 13:34:00.917000Z,177820M,Submitted,Active
Remote Technology Services Ltd,Add Members,2026-06-08 13:26:03.774000Z,176007M,Completed,Active
MMPI,Add Members,2026-06-08 13:23:48.130000Z,176105M,Completed,Active
Unio Employee Benefits,Add Members,2026-06-08 13:21:32.643000Z,175993M,Completed,Active
Irish Life,Add Members,2026-06-08 13:20:22.956000Z,171570M,Completed,Active
C and F Tooling Ltd,Add Members,2026-06-08 13:15:18.830000Z,177805M,Submitted,Active
TechnoPath Manufacturing Ltd,Add Members,2026-06-08 13:14:51.159000Z,177798M,Received,Active
WTW,Add Members,2026-06-08 13:07:59.951000Z,176118M,Completed,Active
TechnoPath Manufacturing Ltd,Add Members,2026-06-08 12:59:19.474000Z,177798M,Submitted,Active
Society of Saint Vincent De Paul,Add Members,2026-06-08 12:43:12.846000Z,177778M,Received,Active
Bon Secours Health System CLG,Add Members,2026-06-08 12:29:55.999000Z,177767M,Received,Active
Bon Secours Health System CLG,Add Members,2026-06-08 12:29:54.309000Z,177768M,Received,Active
Bon Secours Health System CLG,Add Members,2026-06-08 12:29:52.785000Z,177769M,Received,Active
Open Text Ireland Ltd,Add Members,2026-06-08 12:23:25.593000Z,176142M,Completed,Active
Society of Saint Vincent De Paul,Add Members,2026-06-08 12:22:52.743000Z,177778M,Submitted,Active
WTW,Add Members,2026-06-08 12:15:46.733000Z,177762M,Received,Active
Bon Secours Health System CLG,Add Members,2026-06-08 12:09:53.433000Z,177769M,Submitted,Active
Bon Secours Health System CLG,Add Members,2026-06-08 12:08:44.682000Z,177768M,Submitted,Active
Bon Secours Health System CLG,Add Members,2026-06-08 12:08:05.250000Z,177767M,Submitted,Active
Irish Life,Add Members,2026-06-08 12:01:04.102000Z,177645M,Completed,Active
WTW,Add Members,2026-06-08 11:57:20.964000Z,177762M,Submitted,Active
NFP Ireland Consultants Ltd,Add Members,2026-06-08 11:47:41.083000Z,177740M,Received,Active
Irish Life,Add Members,2026-06-08 11:42:57.514000Z,177570M,Completed,Active
Howden Insurance Ireland Limited,Add Members,2026-06-08 11:33:00.644000Z,177725M,Received,Active
Kerrigan Sheanon Newman Unlimited Company,Add Members,2026-06-08 11:32:58.570000Z,177727M,Received,Active
BNL Sciences Limited,Add Members,2026-06-08 11:30:16.971000Z,175910M,Completed,Active
NFP Ireland Consultants Ltd,Add Members,2026-06-08 11:26:12.393000Z,177740M,Submitted,Active
Kerrigan Sheanon Newman Unlimited Company,Add Members,2026-06-08 11:15:46.477000Z,177727M,Submitted,Active
Howden Insurance Ireland Limited,Add Members,2026-06-08 11:15:20.841000Z,177725M,Submitted,Active
MMPI,Add Members,2026-06-08 11:02:39.488000Z,177694M,Received,Active
Irish Life,Add Members,2026-06-08 10:54:48.564000Z,175951M,Completed,Active
Co Wexford Community Workshop New Ross CLG ta Cumas,Add Members,2026-06-08 10:47:18.143000Z,177682M,Received,Active
Keyloop Ireland Ltd,Add Members,2026-06-08 10:47:18.062000Z,177683M,Received,Active
MMPI,Add Members,2026-06-08 10:33:45.305000Z,177694M,Submitted,Active
Kerry Parents and Friends Association,Add Members,2026-06-08 10:32:57.040000Z,177669M,Received,Active
Keyloop Ireland Ltd,Add Members,2026-06-08 10:23:46.119000Z,177683M,Submitted,Active
Co Wexford Community Workshop New Ross CLG ta Cumas,Add Members,2026-06-08 10:22:09.659000Z,177682M,Submitted,Active
Klaviyo Ireland Limited,Add Members,2026-06-08 10:18:02.176000Z,177648M,Received,Active
Irish Life,Add Members,2026-06-08 10:18:01.025000Z,177645M,Received,Active
Unio Employee Benefits,Add Members,2026-06-08 10:18:00.691000Z,177638M,Received,Active
Kerry Parents and Friends Association,Add Members,2026-06-08 10:16:14.040000Z,177669M,Submitted,Active
Applus Car Testing Service Ltd,Add Members,2026-06-08 10:03:48.727000Z,177629M,Received,Active
Klaviyo Ireland Limited,Add Members,2026-06-08 10:00:51.092000Z,177648M,Submitted,Active
Irish Life,Add Members,2026-06-08 09:56:00.259000Z,177645M,Submitted,Active
Unio Employee Benefits,Add Members,2026-06-08 09:52:55.968000Z,177638M,Submitted,Active
Applus Car Testing Service Ltd,Add Members,2026-06-08 09:36:58.192000Z,177629M,Submitted,Active
Unio Employee Benefits,Add Members,2026-06-08 09:34:21.682000Z,177620M,Received,Active
Pramerica Systems Ireland Ltd,Add Members,2026-06-08 09:19:54.780000Z,177607M,Received,Active
Gowan Group Ltd,Add Members,2026-06-08 09:19:52.532000Z,177602M,Received,Active
Edward Twomey and Co Unlimited Company,Add Members,2026-06-08 09:18:05.969000Z,175844M,Completed,Active
Unio Employee Benefits,Add Members,2026-06-08 09:17:48.637000Z,177620M,Submitted,Active
Unio Employee Benefits,Add Members,2026-06-08 09:11:29.589000Z,176014M,Completed,Active
Maples Group,Add Members,2026-06-08 08:57:52.928000Z,175871M,Completed,Active
Irish Life,Add Members,2026-06-08 08:57:06.377000Z,169660M,Completed,Active
Pramerica Systems Ireland Ltd,Add Members,2026-06-08 08:55:38.972000Z,177607M,Submitted,Active
Gowan Group Ltd,Add Members,2026-06-08 08:51:20.911000Z,177602M,Submitted,Active
Edward Twomey and Co Unlimited Company,Add Members,2026-06-08 08:50:13.717000Z,175850M,Completed,Active
An Breacadh Nua,Add Members,2026-06-08 08:44:54.866000Z,177101M,Completed,Active
Unio Employee Benefits,Add Members,2026-06-08 08:37:09.242000Z,176104M,Completed,Active
CIE Group,Add Members,2026-06-08 08:35:58.132000Z,171776M,Completed,Active
AWP Health and Life SA,Add Members,2026-06-08 08:33:21.526000Z,177578M,Received,Active
Unio Employee Benefits,Add Members,2026-06-08 08:33:15.858000Z,173264M,Completed,Active
Irish Life,Add Members,2026-06-08 08:17:49.763000Z,177570M,Received,Active
The Institution of Engineers of Ireland,Add Members,2026-06-08 08:17:47.815000Z,177569M,Received,Active
AWP Health and Life SA,Add Members,2026-06-08 08:12:48.167000Z,177578M,Submitted,Active
Unio Employee Benefits,Add Members,2026-06-08 08:02:30.076000Z,177567M,Received,Active
Irish Life,Add Members,2026-06-08 07:53:40.055000Z,177570M,Submitted,Active
The Institution of Engineers of Ireland,Add Members,2026-06-08 07:53:30.338000Z,177569M,Submitted,Active
Unio Employee Benefits,Add Members,2026-06-08 07:48:43.363000Z,177567M,Submitted,Active
Howden Insurance Ireland Limited,Add Members,2026-06-05 16:44:11.057000Z,177184M,Received,Active
Howden Insurance Ireland Limited,Add Members,2026-06-05 16:21:48.805000Z,177184M,Submitted,Active
Irish Life,Add Members,2026-06-05 16:16:53.090000Z,176186M,Completed,Active
FDC Group,Add Members,2026-06-05 15:27:58.825000Z,175624M,Completed,Active
Fehily Timoney and Company Limited,Add Members,2026-06-05 15:12:57.883000Z,175313M,Completed,Active
HSB Engineering Insurance Services Ltd,Add Members,2026-06-05 15:02:21.095000Z,175604M,Completed,Active
Bank of China Luxembourg SA,Add Members,2026-06-05 14:50:44.981000Z,175611M,Completed,Active
FDC Group,Add Members,2026-06-05 14:50:18.900000Z,177122M,Received,Active
Ingersoll Rand Industrial Ire Limited,Add Members,2026-06-05 14:45:41.882000Z,175641M,Completed,Active
Irving Oil Ireland Limited,Add Members,2026-06-05 14:33:21.794000Z,175637M,Completed,Active
FDC Group,Add Members,2026-06-05 14:30:50.138000Z,177122M,Submitted,Active
An Breacadh Nua,Add Members,2026-06-05 14:25:33.586000Z,177101M,Received,Active
Glennon Employee Benefits,Add Members,2026-06-05 14:25:33.277000Z,177097M,Received,Active
Magnit Global Ireland,Add Members,2026-06-05 14:24:41.636000Z,175710M,Completed,Active
Maples Group,Add Members,2026-06-05 14:12:33.994000Z,177078M,Received,Active
McCarthy Insurance Group,Add Members,2026-06-05 14:12:32.804000Z,177085M,Received,Active
Lam Research Ireland Ltd,Add Members,2026-06-05 14:09:44.929000Z,175618M,Completed,Active
An Breacadh Nua,Add Members,2026-06-05 14:09:01.140000Z,177101M,Submitted,Active
Glennon Employee Benefits,Add Members,2026-06-05 14:06:35.291000Z,177097M,Submitted,Active
MBEU Designated Activity Company,Add Members,2026-06-05 14:05:09.027000Z,175489M,Completed,Active
McCarthy Insurance Group,Add Members,2026-06-05 13:54:44.943000Z,177085M,Submitted,Active
Maples Group,Add Members,2026-06-05 13:48:00.206000Z,177078M,Submitted,Active
Mediolanum International Funds Limited,Add Members,2026-06-05 13:46:22.516000Z,175535M,Completed,Active
Ophardt,Add Members,2026-06-05 13:45:02.771000Z,175662M,Completed,Active
Wallace Financial Consultants Ltd,Add Members,2026-06-05 13:44:51.261000Z,175455M,Completed,Active
Irish Life,Add Members,2026-06-05 13:39:29.911000Z,175526M,Completed,Active
Experian plc,Add Members,2026-06-05 13:06:16.798000Z,177049M,Received,Active
Unio Employee Benefits,Add Members,2026-06-05 13:06:16.790000Z,177050M,Received,Active
Unio Employee Benefits,Add Members,2026-06-05 12:49:57.380000Z,177050M,Submitted,Active
Experian plc,Add Members,2026-06-05 12:48:15.406000Z,177049M,Submitted,Active
Irish Life,Add Members,2026-06-05 12:40:57.007000Z,175317M,Cancelled,Active
Paysafe Payment Solutions Limited,Add Members,2026-06-05 12:37:04.833000Z,175647M,Completed,Active
Turner and Townsend Limited,Add Members,2026-06-05 12:27:02.719000Z,177034M,Received,Active
Joseph G Byrne and Sons Consulting Actuaries,Add Members,2026-06-05 12:11:20.594000Z,175324M,Completed,Active
Turner and Townsend Limited,Add Members,2026-06-05 12:09:58.119000Z,177034M,Submitted,Active
Kintetsu World Express Ire Ltd Retirement Solution Plan,Add Members,2026-06-05 12:02:34.503000Z,177020M,Received,Active
SR Technics Airfoil Services Limited,Add Members,2026-06-05 12:02:33.868000Z,177016M,Received,Active
Unio Employee Benefits,Add Members,2026-06-05 12:02:32.634000Z,177014M,Received,Active
Stryker Ireland,Add Members,2026-06-05 11:49:34.823000Z,177011M,Received,Active
Stryker Ireland,Add Members,2026-06-05 11:49:34.534000Z,177008M,Received,Active
Kintetsu World Express Ire Ltd Retirement Solution Plan,Add Members,2026-06-05 11:46:09.400000Z,177020M,Submitted,Active
SR Technics Airfoil Services Limited,Add Members,2026-06-05 11:41:19.323000Z,177016M,Submitted,Active
Unio Employee Benefits,Add Members,2026-06-05 11:40:30.142000Z,177014M,Submitted,Active
Stryker Ireland,Add Members,2026-06-05 11:35:28.704000Z,177011M,Submitted,Active
Stryker Ireland,Add Members,2026-06-05 11:32:56.501000Z,177008M,Submitted,Active
Mathworks Limited,Add Members,2026-06-05 11:11:27.489000Z,176983M,Received,Active
ChildVision,Add Members,2026-06-05 11:11:26.545000Z,176982M,Received,Active
Sumitomo Mitsui Banking Corporation,Add Members,2026-06-05 11:08:35.675000Z,169806M,Completed,Active
Mathworks Limited,Add Members,2026-06-05 10:52:19.705000Z,176983M,Submitted,Active
Irish Life,Add Members,2026-06-05 10:51:53.353000Z,176898M,Completed,Active
ChildVision,Add Members,2026-06-05 10:50:54.519000Z,176982M,Submitted,Active
Tata Consultancy Services Ltd,Add Members,2026-06-05 10:34:24.040000Z,175343M,Completed,Active
Tesla Motors Ireland Limited,Add Members,2026-06-05 10:28:33.617000Z,175553M,Completed,Active
Unio Employee Benefits,Add Members,2026-06-05 10:25:21.447000Z,176954M,Received,Active
Solenis Ireland Limited,Add Members,2026-06-05 10:23:19.965000Z,147352M,Completed,Active
Elliott Building and Civil Engineering Ltd,Add Members,2026-06-05 10:22:54.667000Z,175586M,Completed,Active
Unio Employee Benefits,Add Members,2026-06-05 10:09:19.362000Z,176954M,Submitted,Active
Maples Group,Add Members,2026-06-05 10:05:10.997000Z,175590M,Completed,Active
Apleona Ireland Limited,Add Members,2026-06-05 09:59:07.949000Z,176941M,Received,Active
Coillte Teoranta,Add Members,2026-06-05 09:59:01.550000Z,176938M,Received,Active
Zendesk International Limited,Add Members,2026-06-05 09:59:01.090000Z,176936M,Received,Active
Unio Employee Benefits,Add Members,2026-06-05 09:57:50.209000Z,175534M,Completed,Active
Apleona Ireland Limited,Add Members,2026-06-05 09:46:06.510000Z,176941M,Submitted,Active
